contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid_price,IV_calc,BS_price_from_yahoo_IV,lower_bound,time_value_mid,time_value_yahoo
AAPL260529C00255000,2026-05-01 15:49:39,255,26.8,26.2,27.2,6.299999,30.731705,710,199,0.3383855225,TRUE,REGULAR,USD,26.7,0.263289486,27.81905573,25.86667048,0.8333295224,1.952385248
AAPL260529C00260000,2026-05-01 15:56:54,260,22.03,21.7,22.45,4.9300003,28.83041,237,658,0.3033516931,TRUE,REGULAR,USD,22.075,0.2475167376,23.06374903,20.88091863,1.194081369,2.182830394
AAPL260529C00265000,2026-05-01 15:55:00,265,17.49,17.5,18,4.99,39.92,635,1965,0.277961322,TRUE,REGULAR,USD,17.75,0.2383943998,18.60019932,15.89516678,1.854833215,2.705032531
AAPL260529C00270000,2026-05-01 15:55:47,270,13.69,13.65,14,3.8399992,38.98476,538,2255,0.2623364783,TRUE,REGULAR,USD,13.825,0.2330673739,14.57528926,10.90941494,2.915585062,3.665874324
AAPL260529C00275000,2026-05-01 15:53:52,275,10.14,10.1,10.5,2.8600001,39.285717,834,1436,0.2518995709,TRUE,REGULAR,USD,10.3,0.2266327747,11.03407824,5.923663092,4.376336908,5.110415144
AAPL260529C00280000,2026-05-01 15:59:13,280,7.43,7.25,7.45,2.1799998,41.523804,1686,2787,0.2409743872,TRUE,REGULAR,USD,7.35,0.2223770078,7.923619066,0.9379112452,6.412088755,6.985707821
AAPL260529C00285000,2026-05-01 15:58:05,285,5.01,4.9,5.1,1.1100001,28.46154,1181,1140,0.2357254163,FALSE,REGULAR,USD,5,0.2192328657,5.500763373,-4.047840601,9.047840601,9.548603975
AAPL260529C00290000,2026-05-01 15:59:57,290,3.3,3.2,3.35,0.66999984,25.475279,5108,5157,0.2327347235,FALSE,REGULAR,USD,3.275,0.2183849904,3.671412352,-9.033592448,12.30859245,12.7050048
AAPL260529C00295000,2026-05-01 15:57:03,295,2.01,1.99,2.15,0.30999994,18.23529,1192,472,0.2327957581,FALSE,REGULAR,USD,2.07,0.2188293466,2.396376199,-14.01934429,16.08934429,16.41572049
AAPL260529C00300000,2026-05-01 15:59:46,300,1.3,1.24,1.31,-0.100000024,-7.142859,12688,3985,0.2321854126,FALSE,REGULAR,USD,1.275,0.220528938,1.490375781,-19.00509614,20.28009614,20.49547192
AAPL260529C00305000,2026-05-01 15:57:54,305,0.78,0.74,0.81,-0.07000005,-8.2353,2237,625,0.2351150708,FALSE,REGULAR,USD,0.775,0.2234527675,0.9377350018,-23.99084799,24.76584799,24.92858299
AAPL260529C00310000,2026-05-01 15:56:36,310,0.46,0.46,0.51,-0.14000002,-23.333336,478,593,0.2402419727,FALSE,REGULAR,USD,0.485,0.2289682358,0.6013045172,-28.97659983,29.46159983,29.57790435
AAPL260529C00315000,2026-05-01 15:38:18,315,0.34,0.28,0.32,-0.07999998,-19.047615,716,780,0.2453688745,FALSE,REGULAR,USD,0.3,0.23414191,0.3833260938,-33.96235168,34.26235168,34.34567777
AAPL260529C00320000,2026-05-01 15:23:00,320,0.19,0.17,0.21,-0.110000014,-36.66667,661,1120,0.2524488818,FALSE,REGULAR,USD,0.19,0.2403194781,0.2549342197,-38.94810353,39.13810353,39.20303775
AAPL260529C00325000,2026-05-01 15:57:09,325,0.12,0.11,0.16,-0.07,-36.842106,344,89,0.2651440674,FALSE,REGULAR,USD,0.135,0.2504311853,0.1960999916,-43.93385537,44.06885537,44.12995536
AAPL260529C00330000,2026-05-01 15:50:27,330,0.1,0.08,0.1,-0.050000004,-33.333336,179,234,0.2695385547,FALSE,REGULAR,USD,0.09,0.2575446459,0.1253921398,-48.91960722,49.00960722,49.04499936
AAPL260529C00335000,2026-05-01 15:33:04,335,0.06,0.04,0.08,-0.040000003,-40.000004,30,56,0.2822337402,FALSE,REGULAR,USD,0.06,0.2642257573,0.1008095991,-53.90535907,53.96535907,54.00616867
AAPL260529C00340000,2026-05-01 10:17:27,340,0.08,0.02,0.07,0.009999998,14.285712,4,35,0.2968820313,FALSE,REGULAR,USD,0.045,0.2741221738,0.08732493425,-58.89111091,58.93611091,58.97843585
AAPL260529C00345000,2026-05-01 11:29:55,345,0.06,0.03,0.07,0,0,6,23,0.3164130859,FALSE,REGULAR,USD,0.05,0.2959167995,0.08749048519,-63.87686276,63.92686276,63.96435324
AAPL260529C00350000,2026-05-01 14:03:41,350,0.03,0.02,0.04,-0.01,-25,15,64,0.3144599805,FALSE,REGULAR,USD,0.03,0.2971426495,0.05068833328,-68.86261461,68.89261461,68.91330294
AAPL260529C00355000,2026-05-01 10:56:54,355,0.1,0.01,0.12,0.009999998,11.111108,1,7,0.3789124609,FALSE,REGULAR,USD,0.065,0.3416928076,0.1483105045,-73.84836645,73.91336645,73.99667696
AAPL260529C00360000,2026-04-29 12:16:44,360,0.09,0.01,0.17,0,0,1,7,0.4165097412,FALSE,REGULAR,USD,0.09,0.3735162769,0.2059435786,-78.8341183,78.9241183,79.04006188
AAPL260529C00365000,2026-05-01 10:00:11,365,0.02,0,0.04,-0.11,-84.61539,72,5,0.3671938281,FALSE,REGULAR,USD,0.02,0.3334787959,0.05161253019,-83.81987015,83.83987015,83.87148268
AAPL260529C00370000,2026-04-28 14:02:45,370,0.02,0.01,0.16,0,0,1,13,0.4511773633,FALSE,REGULAR,USD,0.085,0.4061584686,0.1940590055,-88.80562199,88.89062199,88.999681
